
Northern Line,Goodge Street,000000,516,177
Northern Line,Warren Street,000000,491,135
Northern Line,Euston,000000,522,96
Northern Line,King's Cross St. Pancras,000000,586,69
Northern Line,Angel,000000,704,54
Northern Line,Old Street,000000,825,116
Northern Line,Liverpool Street,000000,857,204
Northern Line,Bank,000000,816,252
Northern Line,London Bridge,000000,831,336
Northern Line,Borough,000000,779,379
Northern Line,Elephant & Castle,000000,741,450
Waterloo & City Line,Waterloo,89cbc1,649,353
Waterloo & City Line,Bank,89cbc1,816,252
